SK_ID_CURR,SK_ID_PREV,AMT_ANNUITY,CNT_PAYMENT,TARGET,AMT_CREDIT,TOTAL_REPAID_PER_LOAN,FINAL_INSTAL_NUM,FV,PENALTY_IMPOSED,CODE_GENDER,NAME_INCOME_TYPE,NAME_HOUSING_TYPE,FLAG_EMP_PHONE,FLAG_CONT_MOBILE,FLAG_OWN_REALTY,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,NAME_EDUCATION_TYPE,NAME_PRODUCT_TYPE,NAME_YIELD_GROUP,INTEREST_RATE
100919,2369733,17226.0,18.0,0,247500.0,312003.0,19,310068.0,1935.0,F,Pensioner,House / apartment,No,Yes,N,No,No,Secondary / secondary special,x-sell,low_normal,20.0
101680,2745918,14540.0,12.0,0,135000.0,175080.0,13,174480.0,600.0,F,Working,House / apartment,Yes,Yes,N,No,No,Higher education,x-sell,middle,30.0
102525,2805746,19567.0,18.0,0,234256.0,413192.0,19,352206.0,60986.0,M,Working,House / apartment,Yes,Yes,Y,No,No,Higher education,x-sell,high,30.0
103646,1308849,16820.0,24.0,0,239238.0,484365.0,25,403680.0,80685.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Higher education,x-sell,high,30.0
105166,1772839,8676.0,6.0,0,46485.0,52792.0,7,52056.0,736.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,30.0
106581,2374037,14510.0,12.0,0,143910.0,175081.0,13,174120.0,961.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
106718,2014675,16781.0,24.0,0,274288.0,438582.0,25,402744.0,35838.0,F,Pensioner,House / apartment,No,Yes,N,No,No,Secondary / secondary special,x-sell,middle,20.0
107397,2038050,41014.0,18.0,0,548536.0,745366.0,19,738252.0,7114.0,M,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,walk-in,middle,20.0
107570,2760584,15704.0,18.0,0,202766.0,377275.0,19,282672.0,94603.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
108104,1003034,16329.0,24.0,0,279274.0,523965.0,25,391896.0,132069.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
109967,2744676,13072.0,12.0,1,110146.0,162763.0,13,156864.0,5899.0,M,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,walk-in,high,40.0
114124,1028060,22307.0,12.0,0,216418.0,270283.0,13,267684.0,2599.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
